😀	哈哈
🪛	螺丝刀 起子
🔩	螺丝
⚙️	齿轮
⚖️	天平
🔗	链接
⛓️	链条
🧲	磁铁
🪜	梯子
🧪	试管
🧬	脱氧核糖核酸
🔬	显微镜
🔭	望远镜
💉	针头
🩸	血
💊	药丸
🩹	创可贴
🩺	听诊器
🚪	门
🛗	电梯
🪞	镜 镜子
🪟	窗 窗户
🛏️	床
🪑	椅 椅子
🚽	马桶
🚿	淋浴
🛁	浴缸
🛀	洗澡
🧹	扫帚
🧻	卷纸 卫生纸
🪥	牙刷
🧽	海绵
🧯	灭火器
🛒	购物 购物车
🚬	香烟
⚰️	棺材
🪦	墓碑

🚮	垃圾
🚰	饮用水
♿	轮椅
🚹	男
🚺	女
🚻	卫生间 厕所
🛃	海关
🗣️	说话
👣	脚印
⚠️	警告
⛔	禁止通行
🚫	禁止
☢️	辐射 放射性
☣️	生物危害
⚛️	原子
☯️	阴阳
☮️	和平
▶	播放
⏸️	暂停
⏹️	停止
⏺️	录音
⏩	快进
⏪	快退
⏏️	弹出
🎦	电影
📶	信号
♀️	女
♂️	男
⚧️	跨性别
💱	汇率
♻️	回收
✔️	对 打勾
❌	错 打叉
🆓	免费
ℹ️	信息
🆔	身份
🅿️	停车
🆘	求救
🆚	对决
🈶	有
🉐	得
🈹	割
🈚	无
🈲	禁
🉑	可

🏁	终点
🇦🇨	阿森松岛
🇦🇩	安道尔
🇦🇪	阿联酋
🇦🇫	阿富汗
🇦🇬	安提瓜和巴布达
🇦🇮	安圭拉
🇦🇱	阿尔巴尼亚
🇦🇲	亚美尼亚
🇦🇴	安哥拉
🇦🇶	南极洲
🇦🇷	阿根廷
🇦🇸	美属萨摩亚
🇦🇹	奥地利
🇦🇺	澳大利亚
🇦🇼	阿鲁巴
🇦🇽	奥兰群岛
🇦🇿	阿塞拜疆
🇧🇦	波斯尼亚和黑塞哥维纳
🇧🇧	巴巴多斯
🇧🇧	孟加拉国
🇧🇪	比利时
🇧🇫	布基纳法索
🇧🇬	保加利亚
🇧🇭	巴林
🇧🇮	布隆迪
🇧🇯	贝宁
🇧🇱	圣巴泰勒米
🇧🇲	百慕大
🇧🇳	文莱
🇧🇴	玻利维亚
🇧🇶	荷属加勒比
🇧🇷	巴西
🇧🇸	巴哈马
🇧🇹	不丹
🇧🇻	布韦岛
🇧🇼	博茨瓦纳
🇧🇾	白俄罗斯
🇧🇿	伯利兹
🇨🇦	加拿大
🇨🇨	科科斯群岛
🇨🇩	刚果金
🇨🇫	中非
🇨🇬	刚果布
🇨🇭	瑞士
🇨🇮	科特迪瓦
🇨🇰	库克群岛
🇨🇱	智利
🇨🇲	喀麦隆
🇨🇳	中国 中华人民共和国
🇨🇴	哥伦比亚
#🇨🇵	克利珀顿岛	# 同法国
🇨🇷	哥斯达黎加
🇨🇺	古巴
🇨🇻	佛得角
🇨🇼	库拉索
🇨🇽	圣诞岛
🇨🇾	塞浦路斯
🇨🇿	捷克
🇩🇪	德国
🇩🇬	迪戈加西亚
🇩🇯	吉布提
🇩🇰	丹麦
🇩🇲	多米尼加
🇩🇿	阿尔及利亚
#🇪🇦	休达和梅利利亚		# 同西班牙
🇪🇨	厄瓜多尔
🇪🇪	爱沙尼亚
🇪🇬	埃及
🇪🇭	西撒哈拉
🇪🇷	厄立特里亚
🇪🇸	西班牙
🇪🇹	埃塞俄比亚
🇪🇺	欧盟
🇫🇮	芬兰
🇫🇯	斐济
🇫🇰	福克兰群岛
🇫🇲	密克罗尼西亚
🇫🇴	法罗群岛
🇫🇷	法国
🇬🇦	加蓬
🇬🇧	英国
🇬🇩	格林纳达
🇬🇪	格鲁吉亚
🇬🇫	法属圭亚那
🇬🇬	根西岛
🇬🇭	加纳
🇬🇮	直布罗陀
🇬🇱	格陵兰
🇬🇲	冈比亚
🇬🇳	几内亚
🇬🇵	瓜德罗普岛
🇬🇶	赤道几内亚
🇬🇷	希腊
🇬🇸	南乔治亚和南桑威奇群岛
🇬🇹	危地马拉
🇬🇺	关岛
🇬🇼	几内亚比绍
🇬🇾	圭亚那
🇭🇰	香港
🇭🇲	赫德岛和麦克唐纳群岛
🇭🇳	洪都拉斯
🇭🇷	克罗地亚
🇭🇹	海地
🇭🇺	匈牙利
🇮🇨	加那利群岛
🇮🇩	印度尼西亚
🇮🇪	爱尔兰
🇮🇱	以色列
🇮🇲	曼岛
🇮🇳	印度
🇮🇴	英属印度洋领地
🇮🇶	伊拉克
🇮🇷	伊朗
🇮🇸	冰岛
🇮🇹	意大利
🇯🇪	泽西岛
🇯🇲	牙买加
🇯🇴	约旦
🇯🇵	日本
🇰🇪	肯尼亚
